Device,Humidity,Temperature,Experiment,time,Pi
 'gnfuv-temp-exp1-55d487b85b-2msrd',0,18,1,2018-03-26 16:23:35.086462000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',64,19,1,2018-03-26 16:23:42.369585000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',63,19,1,2018-03-26 16:23:47.119921000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',63,19,1,2018-03-26 16:23:51.822372000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',63,19,1,2018-03-26 16:23:56.549450000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',63,19,1,2018-03-26 16:24:08.835694000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',62,19,1,2018-03-26 16:24:33.750097000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',62,19,1,2018-03-26 16:24:38.476233000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',62,19,1,2018-03-26 16:24:43.193729000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',62,19,1,2018-03-26 16:24:47.898864000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',62,19,1,2018-03-26 16:24:52.602944000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',61,19,1,2018-03-26 16:24:57.323730000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',61,19,1,2018-03-26 16:25:22.242523000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd',60,20,1,2018-03-26 16:25:32.040106000,pi4
 'gnfuv-temp-exp1-55d487b85b-2msrd', None, None,1,2018-03-26 16:26:14.130285000,pi4
 'gnfuv-temp-exp1-55d487b85b-7k2cr',64,19,1,2018-03-26 16:23:53.403526000,pi4
 'gnfuv-temp-exp1-55d487b85b-7k2cr',63,19,1,2018-03-26 16:24:03.204921000,pi4
 'gnfuv-temp-exp1-55d487b85b-7k2cr',63,19,1,2018-03-26 16:24:15.505717000,pi4
 'gnfuv-temp-exp1-55d487b85b-7k2cr',63,19,1,2018-03-26 16:24:20.250122000,pi4
 'gnfuv-temp-exp1-55d487b85b-7k2cr',62,19,1,2018-03-26 16:24:27.533172000,pi4
 'gnfuv-temp-exp1-55d487b85b-7k2cr',62,19,1,2018-03-26 16:24:32.242801000,pi4
 'gnfuv-temp-exp1-55d487b85b-7k2cr',61,19,1,2018-03-26 16:24:54.626808000,pi4
 'gnfuv-temp-exp1-55d487b85b-7k2cr',61,19,1,2018-03-26 16:25:09.445575000,pi4
 'gnfuv-temp-exp1-55d487b85b-7k2cr',60,20,1,2018-03-26 16:25:29.314439000,pi4
 'gnfuv-temp-exp1-55d487b85b-7k2cr',60,20,1,2018-03-26 16:25:34.047978000,pi4
 'gnfuv-temp-exp1-55d487b85b-7k2cr', None, None,1,2018-03-26 16:26:16.149550000,pi4
